no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_3h_download_cor1	pre_b_3h_download_cor1	preevento_a_3h	preevento_b_3h	pre_a_2h_download_cor1	pre_b_2h_download_cor1
34	2007-05-08	06:52:30	2007-05-08	07:23:14	90	90	225.494	218.536	4.751	-2.207	4.779	*	*	2007-05-08 06:52:30	2007-05-08 07:23:14	2007-05-08 05:52:30	2007-05-08 06:23:14	2007-05-08 04:52:30	2007-05-08 05:23:14	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070508/', '20070508_035000_s4c1A.fts', '20070508_035009_s4c1A.fts', '20070508_035018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070508/', '20070508_042000_s4c1B.fts', '20070508_042009_s4c1B.fts', '20070508_042018_s4c1B.fts']	2007/05/08 03:52:30	2007/05/08 04:23:14	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070508/', '20070508_045000_s4c1A.fts', '20070508_045009_s4c1A.fts', '20070508_045018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070508/', '20070508_052000_s4c1B.fts', '20070508_052009_s4c1B.fts', '20070508_052018_s4c1B.fts']
35	2007-05-09	04:22:30	2007-05-09	04:53:14	90	90	213.720	206.643	4.821	-2.256	4.851	2.312	7.153	2007-05-09 04:22:30	2007-05-09 04:53:14	2007-05-09 03:22:30	2007-05-09 03:53:14	2007-05-09 02:22:30	2007-05-09 02:53:14	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070509/', '20070509_012000_s4c1A.fts', '20070509_012009_s4c1A.fts', '20070509_012018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070509/', '20070509_015000_s4c1B.fts', '20070509_015009_s4c1B.fts', '20070509_015018_s4c1B.fts']	2007/05/09 01:22:30	2007/05/09 01:53:14	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070509/', '20070509_022000_s4c1A.fts', '20070509_022009_s4c1A.fts', '20070509_022018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070509/', '20070509_025000_s4c1B.fts', '20070509_025009_s4c1B.fts', '20070509_025018_s4c1B.fts']
36	2007-05-09	16:22:30	2007-05-09	16:23:14	270	270	207.149	200.005	4.861	-2.283	4.891	2.340	*	2007-05-09 16:22:30	2007-05-09 16:23:14	2007-05-09 15:22:30	2007-05-09 15:23:14	2007-05-09 14:22:30	2007-05-09 14:23:14	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070509/', '20070509_132000_s4c1A.fts', '20070509_132009_s4c1A.fts', '20070509_132018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070509/', '20070509_132000_s4c1B.fts', '20070509_132009_s4c1B.fts', '20070509_132018_s4c1B.fts']	2007/05/09 13:22:30	2007/05/09 13:23:14	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070509/', '20070509_142000_s4c1A.fts', '20070509_142009_s4c1A.fts', '20070509_142018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070509/', '20070509_142000_s4c1B.fts', '20070509_142009_s4c1B.fts', '20070509_142018_s4c1B.fts']
37	2007-05-14	16:22:30	2007-05-14	15:53:16	45	45	141.699	133.873	5.262	-2.564	5.301	2.626	7.919	2007-05-14 16:22:30	2007-05-14 15:53:16	2007-05-14 15:22:30	2007-05-14 14:53:16	2007-05-14 14:22:30	2007-05-14 13:53:16	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070514/', '20070514_132000_s4c1A.fts', '20070514_132009_s4c1A.fts', '20070514_132018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070514/', '20070514_125000_s4c1B.fts', '20070514_125009_s4c1B.fts', '20070514_125018_s4c1B.fts']	2007/05/14 13:22:30	2007/05/14 12:53:16	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070514/', '20070514_142000_s4c1A.fts', '20070514_142009_s4c1A.fts', '20070514_142018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070514/', '20070514_135000_s4c1B.fts', '20070514_135009_s4c1B.fts', '20070514_135018_s4c1B.fts']
38	2007-05-15	19:22:30	2007-05-15	20:23:17	45	45	126.649	118.661	5.356	-2.632	5.397	2.695	8.084	2007-05-15 19:22:30	2007-05-15 20:23:17	2007-05-15 18:22:30	2007-05-15 19:23:17	2007-05-15 17:22:30	2007-05-15 18:23:17	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070515/', '20070515_162000_s4c1A.fts', '20070515_162009_s4c1A.fts', '20070515_162018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070515/', '20070515_172000_s4c1B.fts', '20070515_172009_s4c1B.fts', '20070515_172018_s4c1B.fts']	2007/05/15 16:22:30	2007/05/15 17:23:17	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070515/', '20070515_172000_s4c1A.fts', '20070515_172009_s4c1A.fts', '20070515_172018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070515/', '20070515_182000_s4c1B.fts', '20070515_182009_s4c1B.fts', '20070515_182018_s4c1B.fts']
39	2007-05-20	07:52:30	2007-05-20	08:53:19	180	225	67.233	58.589	5.736	-2.908	5.785	2.976	8.753	2007-05-20 07:52:30	2007-05-20 08:53:19	2007-05-20 06:52:30	2007-05-20 07:53:19	2007-05-20 05:52:30	2007-05-20 06:53:19	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070520/', '20070520_045000_s4c1A.fts', '20070520_045009_s4c1A.fts', '20070520_045018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070520/', '20070520_055000_s4c1B.fts', '20070520_055009_s4c1B.fts', '20070520_055018_s4c1B.fts']	2007/05/20 04:52:30	2007/05/20 05:53:19	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070520/', '20070520_055000_s4c1A.fts', '20070520_055009_s4c1A.fts', '20070520_055018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070520/', '20070520_065000_s4c1B.fts', '20070520_065009_s4c1B.fts', '20070520_065018_s4c1B.fts']
40	2007-05-21	19:22:30	2007-05-21	18:53:19	90	90	48.058	39.197	5.861	-3.000	5.913	3.069	8.975	2007-05-21 19:22:30	2007-05-21 18:53:19	2007-05-21 18:22:30	2007-05-21 17:53:19	2007-05-21 17:22:30	2007-05-21 16:53:19	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070521/', '20070521_162000_s4c1A.fts', '20070521_162009_s4c1A.fts', '20070521_162018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070521/', '20070521_155000_s4c1B.fts', '20070521_155009_s4c1B.fts', '20070521_155018_s4c1B.fts']	2007/05/21 16:22:30	2007/05/21 15:53:19	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070521/', '20070521_172000_s4c1A.fts', '20070521_172009_s4c1A.fts', '20070521_172018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070521/', '20070521_165000_s4c1B.fts', '20070521_165009_s4c1B.fts', '20070521_165018_s4c1B.fts']
41	2007-05-22	16:22:30	2007-05-22	16:53:19	270	270	36.294	27.297	5.939	-3.057	5.992	3.127	9.112	2007-05-22 16:22:30	2007-05-22 16:53:19	2007-05-22 15:22:30	2007-05-22 15:53:19	2007-05-22 14:22:30	2007-05-22 14:53:19	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070522/', '20070522_132000_s4c1A.fts', '20070522_132009_s4c1A.fts', '20070522_132018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070522/', '20070522_135000_s4c1B.fts', '20070522_135009_s4c1B.fts', '20070522_135018_s4c1B.fts']	2007/05/22 13:22:30	2007/05/22 13:53:19	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070522/', '20070522_142000_s4c1A.fts', '20070522_142009_s4c1A.fts', '20070522_142018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070522/', '20070522_145000_s4c1B.fts', '20070522_145009_s4c1B.fts', '20070522_145018_s4c1B.fts']
42	2007-05-23	08:22:30	2007-05-23	08:53:20	270	270	27.532	18.435	5.997	-3.100	6.051	3.171	9.215	2007-05-23 08:22:30	2007-05-23 08:53:20	2007-05-23 07:22:30	2007-05-23 07:53:20	2007-05-23 06:22:30	2007-05-23 06:53:20	No data	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070523/', '20070523_055000_s4c1B.fts', '20070523_055009_s4c1B.fts', '20070523_055018_s4c1B.fts']	2007/05/23 05:22:30	2007/05/23 05:53:20	No data	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070523/', '20070523_065000_s4c1B.fts', '20070523_065009_s4c1B.fts', '20070523_065018_s4c1B.fts']
43	2007-05-23	08:22:30	2007-05-23	22:23:20	45	45	27.532	18.435	5.997	-3.100	6.051	3.171	*	2007-05-23 08:22:30	2007-05-23 22:23:20	2007-05-23 07:22:30	2007-05-23 21:23:20	2007-05-23 06:22:30	2007-05-23 20:23:20	No data	No data	2007/05/23 05:22:30	2007/05/23 19:23:20	No data	No data
44	2007-05-26	21:52:30	2007-05-26	21:53:21	270	270	340.714	331.066	6.313	-3.335	6.372	3.408	9.774	2007-05-26 21:52:30	2007-05-26 21:53:21	2007-05-26 20:52:30	2007-05-26 20:53:21	2007-05-26 19:52:30	2007-05-26 19:53:21		['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070526/', '20070526_185500_s4c1B.fts', '20070526_185509_s4c1B.fts', '20070526_185518_s4c1B.fts']	2007/05/26 18:52:30	2007/05/26 18:53:21	No data	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070526/', '20070526_195500_s4c1B.fts', '20070526_195509_s4c1B.fts', '20070526_195518_s4c1B.fts']
45	2007-05-30	01:22:30	2007-05-30	01:23:22	90	90	299.373	289.226	6.599	-3.549	6.662	3.625	10.281	2007-05-30 01:22:30	2007-05-30 01:23:22	2007-05-30 00:22:30	2007-05-30 00:23:22	2007-05-29 23:22:30	2007-05-29 23:23:22	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070529/', '20070529_222500_s4c1A.fts', '20070529_222509_s4c1A.fts', '20070529_222518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070529/', '20070529_222500_s4c1B.fts', '20070529_222509_s4c1B.fts', '20070529_222518_s4c1B.fts']	2007/05/29 22:22:30	2007/05/29 22:23:22	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070529/', '20070529_232500_s4c1A.fts', '20070529_232509_s4c1A.fts', '20070529_232518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070529/', '20070529_232500_s4c1B.fts', '20070529_232509_s4c1B.fts', '20070529_232518_s4c1B.fts']
46	2007-06-02	00:52:30	2007-06-02	01:53:23	90	90	260.224	249.592	6.875	-3.758	6.941	3.836	*	2007-06-02 00:52:30	2007-06-02 01:53:23	2007-06-01 23:52:30	2007-06-02 00:53:23	2007-06-01 22:52:30	2007-06-01 23:53:23	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070601/', '20070601_215500_s4c1A.fts', '20070601_215509_s4c1A.fts', '20070601_215518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070601/', '20070601_225500_s4c1B.fts', '20070601_225509_s4c1B.fts', '20070601_225518_s4c1B.fts']	2007/06/01 21:52:30	2007/06/01 22:53:23	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070601/', '20070601_225500_s4c1A.fts', '20070601_225509_s4c1A.fts', '20070601_225518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070601/', '20070601_235500_s4c1B.fts', '20070601_235509_s4c1B.fts', '20070601_235518_s4c1B.fts']
47	2007-06-02	04:22:30	2007-06-02	*	270	*	258.308	247.651	6.888	-3.768	6.955	3.846	*	2007-06-02 04:22:30		2007-06-02 03:22:30	NaT	2007-06-02 02:22:30	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070602/', '20070602_012500_s4c1A.fts', '20070602_012509_s4c1A.fts', '20070602_012518_s4c1A.fts']	*	2007/06/02 01:22:30		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070602/', '20070602_022500_s4c1A.fts', '20070602_022509_s4c1A.fts', '20070602_022518_s4c1A.fts']	*
48	2007-06-03	10:22:30	2007-06-03	10:53:23	90	90	241.882	231.019	7.006	-3.858	7.074	3.937	11.005	2007-06-03 10:22:30	2007-06-03 10:53:23	2007-06-03 09:22:30	2007-06-03 09:53:23	2007-06-03 08:22:30	2007-06-03 08:53:23	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070603/', '20070603_072500_s4c1A.fts', '20070603_072509_s4c1A.fts', '20070603_072518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070603/', '20070603_075500_s4c1B.fts', '20070603_075509_s4c1B.fts', '20070603_075518_s4c1B.fts']	2007/06/03 07:22:30	2007/06/03 07:53:23	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070603/', '20070603_082500_s4c1A.fts', '20070603_082509_s4c1A.fts', '20070603_082518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070603/', '20070603_085500_s4c1B.fts', '20070603_085509_s4c1B.fts', '20070603_085518_s4c1B.fts']
49	2007-06-04	21:22:30	2007-06-05	03:23:24	270	270	222.719	211.612	7.143	-3.964	7.212	4.044	*	2007-06-04 21:22:30	2007-06-05 03:23:24	2007-06-04 20:22:30	2007-06-05 02:23:24	2007-06-04 19:22:30	2007-06-05 01:23:24	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070604/', '20070604_182500_s4c1A.fts', '20070604_182509_s4c1A.fts', '20070604_182518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070605/', '20070605_002500_s4c1B.fts', '20070605_002509_s4c1B.fts', '20070605_002518_s4c1B.fts']	2007/06/04 18:22:30	2007/06/05 00:23:24	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070604/', '20070604_192500_s4c1A.fts', '20070604_192509_s4c1A.fts', '20070604_192518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070605/', '20070605_012500_s4c1B.fts', '20070605_012509_s4c1B.fts', '20070605_012518_s4c1B.fts']
50	2007-06-07	20:22:30	2007-06-07	21:23:25	225	225	183.847	172.238	7.425	-4.185	7.497	4.266	11.758	2007-06-07 20:22:30	2007-06-07 21:23:25	2007-06-07 19:22:30	2007-06-07 20:23:25	2007-06-07 18:22:30	2007-06-07 19:23:25		['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070607/', '20070607_182500_s4c1B.fts', '20070607_182509_s4c1B.fts', '20070607_182518_s4c1B.fts']	2007/06/07 17:22:30	2007/06/07 18:23:25		['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070607/', '20070607_192500_s4c1B.fts', '20070607_192509_s4c1B.fts', '20070607_192518_s4c1B.fts']
51	2007-06-10	10:22:30	2007-06-10	10:53:26	135	135	149.905	137.848	7.674	-4.383	7.747	*	*	2007-06-10 10:22:30	2007-06-10 10:53:26	2007-06-10 09:22:30	2007-06-10 09:53:26	2007-06-10 08:22:30	2007-06-10 08:53:26	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070610/', '20070610_072500_s4c1A.fts', '20070610_072509_s4c1A.fts', '20070610_072518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070610/', '20070610_075500_s4c1B.fts', '20070610_075509_s4c1B.fts', '20070610_075518_s4c1B.fts']	2007/06/10 07:22:30	2007/06/10 07:53:26	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070610/', '20070610_082500_s4c1A.fts', '20070610_082509_s4c1A.fts', '20070610_082518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070610/', '20070610_085500_s4c1B.fts', '20070610_085509_s4c1B.fts', '20070610_085518_s4c1B.fts']
52	2007-06-12	03:52:30	2007-06-12	06:53:26	45	45	127.186	114.826	7.843	-4.518	7.916	4.601	12.513	2007-06-12 03:52:30	2007-06-12 06:53:26	2007-06-12 02:52:30	2007-06-12 05:53:26	2007-06-12 01:52:30	2007-06-12 04:53:26	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070612/', '20070612_005500_s4c1A.fts', '20070612_005509_s4c1A.fts', '20070612_005518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070612/', '20070612_035500_s4c1B.fts', '20070612_035509_s4c1B.fts', '20070612_035518_s4c1B.fts']	2007/06/12 00:52:30	2007/06/12 03:53:26	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070612/', '20070612_015500_s4c1A.fts', '20070612_015509_s4c1A.fts', '20070612_015518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070612/', '20070612_045500_s4c1B.fts', '20070612_045509_s4c1B.fts', '20070612_045518_s4c1B.fts']
53	2007-06-17	07:52:30	2007-06-17	07:53:28	270	270	59.309	46.021	8.352	-4.936	8.425	*	*	2007-06-17 07:52:30	2007-06-17 07:53:28	2007-06-17 06:52:30	2007-06-17 06:53:28	2007-06-17 05:52:30	2007-06-17 05:53:28	No data	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070617/', '20070617_045500_s4c1B.fts', '20070617_045509_s4c1B.fts', '20070617_045518_s4c1B.fts']	2007/06/17 04:52:30	2007/06/17 04:53:28	No data	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070617/', '20070617_055500_s4c1B.fts', '20070617_055509_s4c1B.fts', '20070617_055518_s4c1B.fts']
54	2007-06-19	15:22:30	2007-06-19	16:23:28	270	270	28.932	15.219	8.584	-5.128	8.656	*	*	2007-06-19 15:22:30	2007-06-19 16:23:28	2007-06-19 14:22:30	2007-06-19 15:23:28	2007-06-19 13:22:30	2007-06-19 14:23:28	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070619/', '20070619_122500_s4c1A.fts', '20070619_122509_s4c1A.fts', '20070619_122518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070619/', '20070619_132500_s4c1B.fts', '20070619_132509_s4c1B.fts', '20070619_132518_s4c1B.fts']	2007/06/19 12:22:30	2007/06/19 13:23:28	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070619/', '20070619_132500_s4c1A.fts', '20070619_132509_s4c1A.fts', '20070619_132518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070619/', '20070619_142500_s4c1B.fts', '20070619_142509_s4c1B.fts', '20070619_142518_s4c1B.fts']
55	2007-06-27	05:52:30	2007-06-27	12:53:30	225	225	289.053	273.908	9.362	-5.784	9.426	5.863	*	2007-06-27 05:52:30	2007-06-27 12:53:30	2007-06-27 04:52:30	2007-06-27 11:53:30	2007-06-27 03:52:30	2007-06-27 10:53:30	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070627/', '20070627_025000_s4c1A.fts', '20070627_025009_s4c1A.fts', '20070627_025018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070627/', '20070627_095000_s4c1B.fts', '20070627_095009_s4c1B.fts', '20070627_095018_s4c1B.fts']	2007/06/27 02:52:30	2007/06/27 09:53:30	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070627/', '20070627_035000_s4c1A.fts', '20070627_035009_s4c1A.fts', '20070627_035018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070627/', '20070627_105000_s4c1B.fts', '20070627_105009_s4c1B.fts', '20070627_105018_s4c1B.fts']
56	2007-06-29	17:52:30	2007-06-29	23:53:30	270	270	256.221	240.593	9.622	-6.007	9.682	6.084	*	2007-06-29 17:52:30	2007-06-29 23:53:30	2007-06-29 16:52:30	2007-06-29 22:53:30	2007-06-29 15:52:30	2007-06-29 21:53:30	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070629/', '20070629_145000_s4c1A.fts', '20070629_145009_s4c1A.fts', '20070629_145018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070629/', '20070629_205500_s4c1B.fts', '20070629_205509_s4c1B.fts', '20070629_205518_s4c1B.fts']	2007/06/29 14:52:30	2007/06/29 20:53:30	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070629/', '20070629_155000_s4c1A.fts', '20070629_155009_s4c1A.fts', '20070629_155018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070629/', '20070629_215500_s4c1B.fts', '20070629_215509_s4c1B.fts', '20070629_215518_s4c1B.fts']
57	2007-06-30	05:22:30	2007-06-30	12:53:31	315	315	249.928	234.207	9.672	-6.050	9.731	*	*	2007-06-30 05:22:30	2007-06-30 12:53:31	2007-06-30 04:22:30	2007-06-30 11:53:31	2007-06-30 03:22:30	2007-06-30 10:53:31	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070630/', '20070630_022000_s4c1A.fts', '20070630_022009_s4c1A.fts', '20070630_022018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070630/', '20070630_095000_s4c1B.fts', '20070630_095009_s4c1B.fts', '20070630_095018_s4c1B.fts']	2007/06/30 02:22:30	2007/06/30 09:53:31	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070630/', '20070630_032000_s4c1A.fts', '20070630_032009_s4c1A.fts', '20070630_032018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070630/', '20070630_105000_s4c1B.fts', '20070630_105009_s4c1B.fts', '20070630_105018_s4c1B.fts']
58	2007-07-04	12:22:30	2007-07-04	13:23:31	90	90	193.572	177.008	10.122	-6.442	10.172	*	*	2007-07-04 12:22:30	2007-07-04 13:23:31	2007-07-04 11:22:30	2007-07-04 12:23:31	2007-07-04 10:22:30	2007-07-04 11:23:31	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070704/', '20070704_092500_s4c1A.fts', '20070704_092509_s4c1A.fts', '20070704_092518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070704/', '20070704_102000_s4c1B.fts', '20070704_102009_s4c1B.fts', '20070704_102018_s4c1B.fts']	2007/07/04 09:22:30	2007/07/04 10:23:31	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070704/', '20070704_102500_s4c1A.fts', '20070704_102509_s4c1A.fts', '20070704_102518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070704/', '20070704_112000_s4c1B.fts', '20070704_112009_s4c1B.fts', '20070704_112018_s4c1B.fts']
59	2007-07-08	05:52:30	2007-07-08	06:53:32	90	90	144.608	127.300	10.515	-6.793	10.556	6.860	*	2007-07-08 05:52:30	2007-07-08 06:53:32	2007-07-08 04:52:30	2007-07-08 05:53:32	2007-07-08 03:52:30	2007-07-08 04:53:32	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070708/', '20070708_025000_s4c1A.fts', '20070708_025009_s4c1A.fts', '20070708_025018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070708/', '20070708_035000_s4c1B.fts', '20070708_035009_s4c1B.fts', '20070708_035018_s4c1B.fts']	2007/07/08 02:52:30	2007/07/08 03:53:32	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070708/', '20070708_035000_s4c1A.fts', '20070708_035009_s4c1A.fts', '20070708_035018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070708/', '20070708_045000_s4c1B.fts', '20070708_045009_s4c1B.fts', '20070708_045018_s4c1B.fts']
60	2007-07-08	20:22:30	2007-07-08	21:23:32	90	90	136.676	119.246	10.579	-6.851	10.618	6.917	17.534	2007-07-08 20:22:30	2007-07-08 21:23:32	2007-07-08 19:22:30	2007-07-08 20:23:32	2007-07-08 18:22:30	2007-07-08 19:23:32	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070708/', '20070708_172000_s4c1A.fts', '20070708_172009_s4c1A.fts', '20070708_172018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070708/', '20070708_182000_s4c1B.fts', '20070708_182009_s4c1B.fts', '20070708_182018_s4c1B.fts']	2007/07/08 17:22:30	2007/07/08 18:23:32	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070708/', '20070708_182000_s4c1A.fts', '20070708_182009_s4c1A.fts', '20070708_182018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070708/', '20070708_192000_s4c1B.fts', '20070708_192009_s4c1B.fts', '20070708_192018_s4c1B.fts']
61	2007-07-09	06:52:30	2007-07-09	*	45	*	130.932	113.414	10.625	-6.893	10.663	6.958	17.620	2007-07-09 06:52:30		2007-07-09 05:52:30	NaT	2007-07-09 04:52:30	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070709/', '20070709_035500_s4c1A.fts', '20070709_035509_s4c1A.fts', '20070709_035518_s4c1A.fts']	*	2007/07/09 03:52:30		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070709/', '20070709_045500_s4c1A.fts', '20070709_045509_s4c1A.fts', '20070709_045518_s4c1A.fts']	*
62	2007-07-10	00:22:30	2007-07-10	*	45	*	121.359	103.694	10.702	-6.963	10.738	7.027	17.764	2007-07-10 00:22:30		2007-07-09 23:22:30	NaT	2007-07-09 22:22:30	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070709/', '20070709_212500_s4c1A.fts', '20070709_212509_s4c1A.fts', '20070709_212518_s4c1A.fts']	*	2007/07/09 21:22:30		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070709/', '20070709_222500_s4c1A.fts', '20070709_222509_s4c1A.fts', '20070709_222518_s4c1A.fts']	*
63	2007-07-11	09:52:30	2007-07-11	13:53:32	90	90	103.034	85.086	10.849	-7.098	10.882	7.160	*	2007-07-11 09:52:30	2007-07-11 13:53:32	2007-07-11 08:52:30	2007-07-11 12:53:32	2007-07-11 07:52:30	2007-07-11 11:53:32	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070711/', '20070711_065500_s4c1A.fts', '20070711_065509_s4c1A.fts', '20070711_065518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070711/', '20070711_105500_s4c1B.fts', '20070711_105509_s4c1B.fts', '20070711_105518_s4c1B.fts']	2007/07/11 06:52:30	2007/07/11 10:53:32	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070711/', '20070711_075500_s4c1A.fts', '20070711_075509_s4c1A.fts', '20070711_075518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070711/', '20070711_115500_s4c1B.fts', '20070711_115509_s4c1B.fts', '20070711_115518_s4c1B.fts']
64	2007-07-16	13:52:30	2007-07-16	*	90	*	35.209	16.206	11.394	-7.609	11.411	7.660	*	2007-07-16 13:52:30		2007-07-16 12:52:30	NaT	2007-07-16 11:52:30	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070716/', '20070716_105500_s4c1A.fts', '20070716_105509_s4c1A.fts', '20070716_105518_s4c1A.fts']	*	2007/07/16 10:52:30		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070716/', '20070716_115500_s4c1A.fts', '20070716_115509_s4c1A.fts', '20070716_115518_s4c1A.fts']	*
